Date,Close
"Jun 29, 2017",2.06
"Jun 28, 2017",2.06
"Jun 27, 2017",2.07
"Jun 26, 2017",2.07
"Jun 23, 2017",2.06
"Jun 22, 2017",2.07
"Jun 21, 2017",2.07
"Jun 20, 2017",2.08
"Jun 19, 2017",2.07
"Jun 16, 2017",2.06
"Jun 15, 2017",2.07
"Jun 14, 2017",2.07
"Jun 13, 2017",2.07
"Jun 12, 2017",2.07
"Jun 9, 2017",2.06
"Jun 8, 2017",2.05
"Jun 7, 2017",2.06
"Jun 6, 2017",2.06
"Jun 5, 2017",2.06
"Jun 2, 2017",2.06
"Jun 1, 2017",2.05
"May 31, 2017",2.05
"May 30, 2017",2.05
"May 26, 2017",2.05
"May 25, 2017",2.04
"May 24, 2017",2.04
"May 23, 2017",2.03
"May 22, 2017",2.03
"May 19, 2017",2.02
"May 18, 2017",2.01
"May 17, 2017",2.03
"May 16, 2017",2.04
"May 15, 2017",2.03
"May 12, 2017",2.03
"May 11, 2017",2.03
"May 10, 2017",2.02
"May 9, 2017",2.03
"May 8, 2017",2.02
"May 5, 2017",2.02
"May 4, 2017",2.03
"May 3, 2017",2.02
"May 2, 2017",2.02
"Apr 28, 2017",2.02
"Apr 27, 2017",2.02
"Apr 26, 2017",2.03
"Apr 25, 2017",2.02
"Apr 24, 2017",2.02
"Apr 21, 2017",2.01
"Apr 20, 2017",2
"Apr 19, 2017",2
"Apr 18, 2017",2.02
"Apr 13, 2017",2.02
"Apr 12, 2017",2.03
"Apr 11, 2017",2.03
"Apr 10, 2017",2.04
"Apr 7, 2017",2.03
"Apr 6, 2017",2.03
"Apr 5, 2017",2.03
"Apr 4, 2017",2.03
"Apr 3, 2017",2.03
"Mar 31, 2017",2.04
"Mar 30, 2017",2.03
"Mar 29, 2017",2.04
"Mar 28, 2017",2.02
"Mar 27, 2017",2.02
"Mar 24, 2017",2.02
"Mar 23, 2017",2.02
"Mar 22, 2017",2.02
"Mar 21, 2017",2.04
"Mar 20, 2017",2.04
"Mar 17, 2017",2.04
"Mar 16, 2017",2.04
"Mar 15, 2017",2.03
"Mar 14, 2017",2.04
"Mar 13, 2017",2.03
"Mar 10, 2017",2.04
"Mar 9, 2017",2.03
"Mar 8, 2017",2.04
"Mar 7, 2017",2.04
"Mar 6, 2017",2.04
"Mar 3, 2017",2.04
"Mar 2, 2017",2.04
"Mar 1, 2017",2.04
"Feb 28, 2017",2.02
"Feb 27, 2017",2.02
"Feb 24, 2017",2.01
"Feb 23, 2017",2.02
"Feb 22, 2017",2.02
"Feb 21, 2017",2.02
"Feb 20, 2017",2.01
"Feb 17, 2017",2.01
"Feb 16, 2017",2.01
"Feb 14, 2017",2
"Feb 13, 2017",2
"Feb 10, 2017",2
"Feb 8, 2017",1.99
"Feb 6, 2017",1.99
"Feb 3, 2017",1.98
"Feb 1, 2017",1.97
"Jan 31, 2017",1.98
"Jan 30, 2017",1.98
"Jan 27, 2017",1.98
"Jan 26, 2017",1.98
"Jan 25, 2017",1.97
"Jan 23, 2017",1.97
"Jan 20, 2017",1.98
"Jan 19, 2017",1.99
"Jan 18, 2017",1.99
"Jan 17, 2017",1.99
"Jan 16, 2017",2.01
"Jan 13, 2017",2
"Jan 12, 2017",1.99
"Jan 11, 2017",2
"Jan 10, 2017",2
"Jan 6, 2017",1.98
"Jan 5, 2017",1.98
"Jan 3, 2017",1.97
"Dec 30, 2016",1.97
"Dec 29, 2016",1.97
"Dec 28, 2016",1.97
"Dec 23, 2016",1.97
"Dec 22, 2016",1.96
"Dec 20, 2016",1.96
"Dec 19, 2016",1.95
"Dec 16, 2016",1.95
"Dec 15, 2016",1.95
"Dec 13, 2016",1.93
"Dec 12, 2016",1.94
"Dec 9, 2016",1.94
"Dec 8, 2016",1.93
"Dec 7, 2016",1.92
"Dec 6, 2016",1.9
"Dec 5, 2016",1.89
"Dec 2, 2016",1.9
"Dec 1, 2016",1.9
"Nov 30, 2016",1.92
"Nov 28, 2016",1.92
"Nov 25, 2016",1.92
"Nov 24, 2016",1.91
"Nov 23, 2016",1.92
"Nov 22, 2016",1.92
"Nov 21, 2016",1.92
"Nov 18, 2016",1.92
"Nov 17, 2016",1.91
"Nov 16, 2016",1.91
"Nov 15, 2016",1.91
"Nov 14, 2016",1.91
"Nov 11, 2016",1.9
"Nov 10, 2016",1.94
"Nov 9, 2016",1.92
"Nov 8, 2016",1.93
"Nov 7, 2016",1.92
"Nov 4, 2016",1.91
"Nov 3, 2016",1.92
"Nov 2, 2016",1.94
"Nov 1, 2016",1.96
"Oct 31, 2016",1.96
"Oct 28, 2016",1.97
"Oct 27, 2016",1.96
"Oct 26, 2016",1.97
"Oct 25, 2016",1.97
"Oct 24, 2016",1.97
"Oct 21, 2016",1.97
"Oct 20, 2016",1.97
"Oct 19, 2016",1.96
"Oct 14, 2016",1.96
"Oct 13, 2016",1.96
"Oct 12, 2016",1.96
"Oct 11, 2016",1.97
"Oct 10, 2016",1.95
"Oct 7, 2016",1.96
"Oct 6, 2016",1.93
"Oct 5, 2016",1.93
"Oct 4, 2016",1.93
"Oct 3, 2016",1.92
"Sep 30, 2016",1.91
"Sep 29, 2016",1.92
"Sep 28, 2016",1.91
"Sep 27, 2016",1.91
"Sep 26, 2016",1.92
"Sep 23, 2016",1.92
"Sep 22, 2016",1.9
"Sep 21, 2016",1.9
"Sep 20, 2016",1.9
"Sep 19, 2016",1.88
"Sep 16, 2016",1.87
"Sep 13, 2016",1.88
"Sep 12, 2016",1.87
"Sep 9, 2016",1.89
"Sep 8, 2016",1.9
"Sep 7, 2016",1.89
"Sep 6, 2016",1.89
"Sep 5, 2016",1.89
"Sep 1, 2016",1.89
"Aug 31, 2016",1.9
"Aug 30, 2016",1.91
"Aug 26, 2016",1.89
"Aug 25, 2016",1.89
"Aug 24, 2016",1.9
"Aug 23, 2016",1.9
"Aug 22, 2016",1.9
"Aug 19, 2016",1.9
"Aug 18, 2016",1.9
"Aug 17, 2016",1.91
"Aug 16, 2016",1.92
"Aug 15, 2016",1.92
"Aug 12, 2016",1.92
"Aug 11, 2016",1.91
"Aug 10, 2016",1.9
"Aug 9, 2016",1.9
"Aug 8, 2016",1.9
"Aug 5, 2016",1.88
"Aug 4, 2016",1.86
"Aug 3, 2016",1.86
"Aug 2, 2016",1.88
"Aug 1, 2016",1.88
"Jul 29, 2016",1.88
"Jul 28, 2016",1.88
"Jul 27, 2016",1.88
"Jul 26, 2016",1.88
"Jul 25, 2016",1.88
"Jul 21, 2016",1.87
"Jul 20, 2016",1.87
"Jul 19, 2016",1.87
"Jul 18, 2016",1.86
"Jul 15, 2016",1.85
"Jul 14, 2016",1.86
"Jul 13, 2016",1.85
"Jul 12, 2016",1.86
"Jul 11, 2016",1.86
"Jul 8, 2016",1.84
"Jul 7, 2016",1.84
"Jul 6, 2016",1.83
"Jul 5, 2016",1.83
"Jul 4, 2016",1.83
"Jul 1, 2016",1.82
